"Vaccine","Geography Type","Geography","FIPS","Season/Survey Year","Month","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","10","Age","6 Months - 4 Years","37.4","30.7 to 44.1","610"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","11","Age","6 Months - 4 Years","48.9","41.9 to 55.9","610"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","12","Age","6 Months - 4 Years","52.3","45.1 to 59.5","610"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","1","Age","6 Months - 4 Years","56.6","49.2 to 64.0","610"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","2","Age","6 Months - 4 Years","57.1","49.7 to 64.5","610"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","3","Age","6 Months - 4 Years","57.2","49.7 to 64.7","610"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","4","Age","6 Months - 4 Years","57.8","50.2 to 65.4","610"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","5","Age","6 Months - 4 Years","60.9","52.0 to 69.8","610"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","7","Age","5-12 Years","NR †","NR †","930"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","8","Age","5-12 Years","NR †","NR †","930"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","9","Age","5-12 Years","12.2","9.4 to 15.0","930"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","10","Age","5-12 Years","34.7","30.3 to 39.1","930"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","11","Age","5-12 Years","43.8","39.0 to 48.6","930"
"Seasonal Influenza","States/Local Areas","New Hampshire","33","2024-25","12","Age","5-12 Years","48.1","43.1 to 53.1","930"
