DEPARTURES_PERFORMED,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_STATE_ABR,DEST_STATE_NM,YEAR,MONTH
0.00,AK,Alaska,AK,Alaska,2024,12
0.00,AK,Alaska,AK,Alaska,2024,12
0.00,AK,Alaska,AK,Alaska,2024,12
0.00,AK,Alaska,AK,Alaska,2024,12
0.00,AK,Alaska,AK,Alaska,2024,12
0.00,CA,California,CA,California,2024,12
0.00,FL,Florida,GA,Georgia,2024,12
0.00,FL,Florida,GA,Georgia,2024,12
0.00,FL,Florida,KY,Kentucky,2024,12
0.00,FL,Florida,MI,Michigan,2024,12
0.00,FL,Florida,NJ,New Jersey,2024,12
0.00,GA,Georgia,FL,Florida,2024,12
0.00,GA,Georgia,MO,Missouri,2024,12
0.00,GA,Georgia,MO,Missouri,2024,12
0.00,GA,Georgia,MS,Mississippi,2024,12
0.00,GA,Georgia,TX,Texas,2024,12
0.00,IL,Illinois,FL,Florida,2024,12
0.00,LA,Louisiana,GA,Georgia,2024,12
0.00,LA,Louisiana,NY,New York,2024,12
0.00,MA,Massachusetts,MA,Massachusetts,2024,12
0.00,MA,Massachusetts,MA,Massachusetts,2024,12
0.00,MA,Massachusetts,MI,Michigan,2024,12
0.00,MA,Massachusetts,NY,New York,2024,12
0.00,MI,Michigan,MA,Massachusetts,2024,12
0.00,MO,Missouri,GA,Georgia,2024,12
0.00,MO,Missouri,GA,Georgia,2024,12
0.00,MS,Mississippi,GA,Georgia,2024,12
0.00,NE,Nebraska,NE,Nebraska,2024,12
0.00,NJ,New Jersey,FL,Florida,2024,12
0.00,NV,Nevada,CT,Connecticut,2024,12
0.00,NV,Nevada,OH,Ohio,2024,12
0.00,NV,Nevada,TN,Tennessee,2024,12
0.00,NY,New York,MA,Massachusetts,2024,12
0.00,NY,New York,MA,Massachusetts,2024,12
0.00,NY,New York,MA,Massachusetts,2024,12
0.00,NY,New York,NV,Nevada,2024,12
0.00,PA,Pennsylvania,FL,Florida,2024,12
0.00,PA,Pennsylvania,VA,Virginia,2024,12
0.00,RI,Rhode Island,RI,Rhode Island,2024,12
0.00,RI,Rhode Island,RI,Rhode Island,2024,12
0.00,TX,Texas,NV,Nevada,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
1.00,AK,Alaska,AK,Alaska,2024,12
