DEPARTURES_PERFORMED,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_STATE_ABR,DEST_STATE_NM,YEAR,MONTH
0.00,AK,Alaska,AK,Alaska,2025,2
0.00,AK,Alaska,AK,Alaska,2025,2
0.00,AK,Alaska,AK,Alaska,2025,2
0.00,AK,Alaska,AK,Alaska,2025,2
0.00,AK,Alaska,AK,Alaska,2025,2
0.00,AK,Alaska,AK,Alaska,2025,2
0.00,AL,Alabama,FL,Florida,2025,2
0.00,CA,California,CA,California,2025,2
0.00,CO,Colorado,TN,Tennessee,2025,2
0.00,FL,Florida,AL,Alabama,2025,2
0.00,FL,Florida,FL,Florida,2025,2
0.00,FL,Florida,LA,Louisiana,2025,2
0.00,FL,Florida,MA,Massachusetts,2025,2
0.00,GA,Georgia,TX,Texas,2025,2
0.00,IL,Illinois,NC,North Carolina,2025,2
0.00,IL,Illinois,NY,New York,2025,2
0.00,KY,Kentucky,CA,California,2025,2
0.00,KY,Kentucky,IL,Illinois,2025,2
0.00,KY,Kentucky,LA,Louisiana,2025,2
0.00,KY,Kentucky,NC,North Carolina,2025,2
0.00,LA,Louisiana,FL,Florida,2025,2
0.00,LA,Louisiana,KY,Kentucky,2025,2
0.00,MA,Massachusetts,FL,Florida,2025,2
0.00,MA,Massachusetts,MA,Massachusetts,2025,2
0.00,MA,Massachusetts,MA,Massachusetts,2025,2
0.00,MA,Massachusetts,ME,Maine,2025,2
0.00,MA,Massachusetts,NJ,New Jersey,2025,2
0.00,MA,Massachusetts,NY,New York,2025,2
0.00,MA,Massachusetts,NY,New York,2025,2
0.00,MA,Massachusetts,NY,New York,2025,2
0.00,MA,Massachusetts,NY,New York,2025,2
0.00,NC,North Carolina,FL,Florida,2025,2
0.00,NC,North Carolina,KY,Kentucky,2025,2
0.00,NJ,New Jersey,PA,Pennsylvania,2025,2
0.00,NJ,New Jersey,WI,Wisconsin,2025,2
0.00,NV,Nevada,GA,Georgia,2025,2
0.00,NV,Nevada,MI,Michigan,2025,2
0.00,NY,New York,IL,Illinois,2025,2
0.00,NY,New York,MA,Massachusetts,2025,2
0.00,NY,New York,MA,Massachusetts,2025,2
0.00,NY,New York,MA,Massachusetts,2025,2
0.00,NY,New York,MA,Massachusetts,2025,2
0.00,NY,New York,MA,Massachusetts,2025,2
0.00,OH,Ohio,NY,New York,2025,2
0.00,PA,Pennsylvania,NY,New York,2025,2
0.00,RI,Rhode Island,RI,Rhode Island,2025,2
0.00,RI,Rhode Island,RI,Rhode Island,2025,2
0.00,TN,Tennessee,AR,Arkansas,2025,2
0.00,TN,Tennessee,CO,Colorado,2025,2
0.00,TN,Tennessee,TN,Tennessee,2025,2
0.00,TX,Texas,GA,Georgia,2025,2
0.00,TX,Texas,TN,Tennessee,2025,2
0.00,TX,Texas,WI,Wisconsin,2025,2
0.00,VA,Virginia,NJ,New Jersey,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
1.00,AK,Alaska,AK,Alaska,2025,2
