# Title: January 2025 Contiguous U.S. Statewide Precipitation
# Units: Inches
# Note: Period of Record: 132 Years
ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,3.24,19,-1.94,5.18
2,Arizona,0.09,5,-1.05,1.14
3,Arkansas,4.1,77,0.06,4.04
4,California,0.92,9,-3.33,4.25
5,Colorado,0.71,35,-0.35,1.06
6,Connecticut,1.21,5,-2.52,3.73
7,Delaware,1.69,8,-1.8,3.49
8,Florida,2.65,64,-0.31,2.96
9,Georgia,2.58,24,-1.81,4.39
10,Idaho,1.5,10,-1.52,3.02
11,Illinois,1.09,24,-1.04,2.13
12,Indiana,1.55,33,-1.19,2.74
13,Iowa,0.29,11,-0.69,0.98
14,Kansas,0.83,87,0.16,0.67
15,Kentucky,3.97,70,-0.23,4.2
16,Louisiana,4.87,66,-0.27,5.14
17,Maine,1.67,14,-1.63,3.3
18,Maryland,1.51,5,-1.85,3.36
19,Massachusetts,1.65,8,-1.99,3.64
20,Michigan,1.27,28,-0.54,1.81
21,Minnesota,0.3,10,-0.49,0.79
22,Mississippi,4.26,49,-1.02,5.28
23,Missouri,1.76,63,-0.33,2.09
24,Montana,0.96,34,-0.39,1.35
25,Nebraska,0.3,36,-0.2,0.5
26,Nevada,0.32,7,-0.84,1.16
27,New Hampshire,1.41,8,-1.88,3.29
28,New Jersey,0.77,3,-2.73,3.5
29,New Mexico,0.24,26,-0.37,0.61
30,New York,1.69,14,-1.2,2.89
31,North Carolina,1.68,7,-2.23,3.91
32,North Dakota,0.26,32,-0.23,0.49
33,Ohio,1.46,18,-1.35,2.81
34,Oklahoma,1.25,63,-0.18,1.43
35,Oregon,2.62,20,-2.14,4.76
36,Pennsylvania,1.19,4,-1.86,3.05
37,Rhode Island,1.86,11,-2.08,3.94
38,South Carolina,1.87,20,-1.96,3.83
39,South Dakota,0.24,30,-0.23,0.47
40,Tennessee,3.37,40,-1.52,4.89
41,Texas,1.55,77,0.06,1.49
42,Utah,0.32,4,-0.9,1.22
43,Vermont,1.3,8,-1.65,2.95
44,Virginia,2.18,24,-1.17,3.35
45,Washington,2.22,6,-3.84,6.06
46,West Virginia,2.72,42,-0.91,3.63
47,Wisconsin,0.23,3,-0.92,1.15
48,Wyoming,0.86,47,-0.2,1.06
