state,abbrev,year,month,year_month,vaccination_pct
Alabama,AL,2024,12,2024-12,33.4
Arizona,AZ,2024,12,2024-12,31.9
Arkansas,AR,2024,12,2024-12,34.4
California,CA,2024,12,2024-12,38.8
Colorado,CO,2024,12,2024-12,41.0
Connecticut,CT,2024,12,2024-12,43.6
Delaware,DE,2024,12,2024-12,41.9
Florida,FL,2024,12,2024-12,29.8
Georgia,GA,2024,12,2024-12,29.8
Idaho,ID,2024,12,2024-12,24.2
Illinois,IL,2024,12,2024-12,36.9
Indiana,IN,2024,12,2024-12,37.5
Iowa,IA,2024,12,2024-12,38.7
Kansas,KS,2024,12,2024-12,36.8
Kentucky,KY,2024,12,2024-12,34.4
Louisiana,LA,2024,12,2024-12,29.5
Maine,ME,2024,12,2024-12,45.2
Maryland,MD,2024,12,2024-12,44.2
Massachusetts,MA,2024,12,2024-12,48.8
Michigan,MI,2024,12,2024-12,36.3
Minnesota,MN,2024,12,2024-12,42.1
Mississippi,MS,2024,12,2024-12,27.9
Missouri,MO,2024,12,2024-12,35.6
Montana,MT,2024,12,2024-12,33.0
Nebraska,NE,2024,12,2024-12,38.6
Nevada,NV,2024,12,2024-12,29.9
New Hampshire,NH,2024,12,2024-12,44.7
New Jersey,NJ,2024,12,2024-12,39.4
New Mexico,NM,2024,12,2024-12,36.6
New York,NY,2024,12,2024-12,40.0
North Carolina,NC,2024,12,2024-12,39.7
North Dakota,ND,2024,12,2024-12,36.3
Ohio,OH,2024,12,2024-12,37.6
Oklahoma,OK,2024,12,2024-12,30.8
Oregon,OR,2024,12,2024-12,38.9
Pennsylvania,PA,2024,12,2024-12,39.3
Rhode Island,RI,2024,12,2024-12,46.3
South Carolina,SC,2024,12,2024-12,33.6
South Dakota,SD,2024,12,2024-12,39.1
Tennessee,TN,2024,12,2024-12,32.7
Texas,TX,2024,12,2024-12,32.8
Utah,UT,2024,12,2024-12,34.2
Vermont,VT,2024,12,2024-12,50.9
Virginia,VA,2024,12,2024-12,40.5
Washington,WA,2024,12,2024-12,40.3
West Virginia,WV,2024,12,2024-12,34.9
Wisconsin,WI,2024,12,2024-12,40.1
Wyoming,WY,2024,12,2024-12,31.1
Alabama,AL,2025,1,2025-01,34.4
Arizona,AZ,2025,1,2025-01,34.7
Arkansas,AR,2025,1,2025-01,36.4
California,CA,2025,1,2025-01,40.1
Colorado,CO,2025,1,2025-01,43.6
Connecticut,CT,2025,1,2025-01,46.2
Delaware,DE,2025,1,2025-01,44.8
Florida,FL,2025,1,2025-01,32.3
Georgia,GA,2025,1,2025-01,32.9
Idaho,ID,2025,1,2025-01,26.2
Illinois,IL,2025,1,2025-01,39.4
Indiana,IN,2025,1,2025-01,38.4
Iowa,IA,2025,1,2025-01,41.0
Kansas,KS,2025,1,2025-01,39.0
