# Title: January 2025 Contiguous U.S. Statewide Average Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 132 Years
ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,40.1,18,-5,45.1
2,Arizona,40.1,43,-0.6,40.7
3,Arkansas,36.2,25,-3.1,39.3
4,California,45.1,102,2.8,42.3
5,Colorado,20.4,24,-3.3,23.7
6,Connecticut,26.2,73,0.8,25.4
7,Delaware,30.1,28,-3.2,33.3
8,Florida,53.7,14,-4.1,57.8
9,Georgia,41.3,16,-4.8,46.1
10,Idaho,22.3,56,0.3,22
11,Illinois,23,38,-2.3,25.3
12,Indiana,22.6,27,-3.9,26.5
13,Iowa,18.8,69,1.1,17.7
14,Kansas,25.7,27,-2.9,28.6
15,Kentucky,28.6,20,-5,33.6
16,Louisiana,45.6,22,-3.7,49.3
17,Maine,16.3,97,3.1,13.2
18,Maryland,29.2,28,-3.2,32.4
19,Massachusetts,24.7,70,0.6,24.1
20,Michigan,18.9,68,0.8,18.1
21,Minnesota,9.9,83,3.4,6.5
22,Mississippi,41.2,24,-3.9,45.1
23,Missouri,26.8,29,-2.6,29.4
24,Montana,19.2,69,2.5,16.7
25,Nebraska,22,56,-0.1,22.1
26,Nevada,31.5,66,1.6,29.9
27,New Hampshire,18.5,76,1.4,17.1
28,New Jersey,28.4,48,-1.2,29.6
29,New Mexico,30.5,17,-3.1,33.6
30,New York,20.2,71,0.4,19.8
31,North Carolina,35.4,17,-4.6,40
32,North Dakota,9.9,79,3.5,6.4
33,Ohio,22.3,27,-4.6,26.9
34,Oklahoma,34.1,27,-2.4,36.5
35,Oregon,33.3,93,3.1,30.2
36,Pennsylvania,22.2,32,-3.1,25.3
37,Rhode Island,27.5,65,0.3,27.2
38,South Carolina,40.2,18,-4.4,44.6
39,South Dakota,16.4,63,1.4,15
40,Tennessee,32.7,20,-4.5,37.2
41,Texas,42.8,26,-2.6,45.4
42,Utah,25.8,58,0.5,25.3
43,Vermont,17.2,85,1.9,15.3
44,Virginia,30.8,20,-4,34.8
45,Washington,31,86,2.6,28.4
46,West Virginia,24.2,12,-6.3,30.5
47,Wisconsin,14.2,73,1.8,12.4
48,Wyoming,16.6,33,-1.8,18.4
